ERROR: logging before google.Init: I0813 22:40:02.920827      38 server.go:1441] Starting language server process with pid 15470
ERROR: logging before google.Init: I0813 22:40:03.576633       1 cli_setting_manager.go:88] CLI settings initialized: permissions=&{Allow:[command(gemini) command(railway) command(git status) command(git remote) command(git add) command(git commit) command(git rm) command(git ls-files) command(grep) command(git log) command(pwd) command(ls) command(git diff) command(.venv/bin/pytest) command(ps) command(env) command(head) command(find) command(npm list) command(open) command(which) command(gh) command(git init) command(git branch) command(git show) command(cp) command(tail) command(/opt/homebrew/bin/railway) command("/Volumes/Be) command(cat) command(wc) command(mv) command(git pull) command(lsof) command(docker ps) command(diskutil) command(git clone) command(ollama) command(mkdir) command(psql) command(pytest) command(.venv_test/bin/pytest) command(git checkout) command(git diff-tree) command(git merge) command(git apply) command(jq) command(flake8) command(black) command(git restore) command(pg_isready) command(createdb) command(unset) command(git rebase) command(git) command(./start-macos.sh) command(osascript) mcp(postgres/*) command(sleep) command(pbcopy) command(break) command(xargs) command(npm search) command(npx) command(/Volumes/"Be) command(starship) command(cd) command(ping) command(/Volumes/Be\) command(base64) command(tr) command(mdfind) command(ln) command(df) command(pkill) command(sqlite3) command(file) command(sips) command(npm run) command(rm -f ~/Downloads/Claude.dmg ~/Downloads/OpenRA-release-20250330.dmg) command(awk) command(sort) command(curl -s http://localhost:5000) command(python3 main.py) command(node -c static/script.js) command(python3 scripts/bundle_game_css.py) command(curl -s https://affairsandorder.com/spawn_economy_dede_temp) command(curl -s -o /dev/null -w "%{http_code}" https://affairsandorder.com/account) command(.venv/bin/python app.py) command(.venv/bin/python -c "from app import app") command(.venv/bin/python -m py_compile change.py) command(.venv/bin/python -m py_compile province.py) command(python /Users/dede/.gemini/antigravity-cli/brain/659edb88-12ec-495b-b5e7-75635ab47411/scratch/dump_player_data.py) command(./venv310/bin/python /Users/dede/.gemini/antigravity-cli/brain/659edb88-12ec-495b-b5e7-75635ab47411/scratch/dump_player_data.py) command(./venv310/bin/python /Users/dede/.gemini/antigravity-cli/brain/659edb88-12ec-495b-b5e7-75635ab47411/scratch/dump_players_psql.py) command(curl -s https://affairsandorder.com/dump_players_json_temp) command(python3 scratch/build_stuff.py) command(python3 build_stuff.py) command(curl -k https://affairsandorder.com/temp_build_stuff) command(history) command(python3 -m py_compile province.py) command(curl -s https://affairsandorder.com/api/global_events) command(curl -s https://affairsandorder.com/temp_build_stuff) command(python3 -c "import os, config; print(config.os.getenv('DATABASE_URL') or os.getenv('DATABASE_PUBLIC_URL'))") command(echo) command(python -c "import countries; print(countries.get_revenue(1))") command(./venv310/bin/python -c "import countries; print(countries.get_revenue(1))") command(./venv310/bin/python3 scripts/diagnose_country_page.py 1) command(python3 -c "import variables; print(variables.building_dictionary.get('primary_school', 'Not Found'))") command(./venv310/bin/python3 -c "import sys; sys.path.append('.'); import variables; print(variables.NEW_INFRA.get('primary_school', 'Not Found'))") command(./venv310/bin/python3 scratch/test_revenue_direct.py) command(./venv310/bin/pip install Flask) command(./venv310/bin/python3 -c "import sys; sys.path.append('.'); import variables; print(list(variables.NEW_INFRA.keys()))") command(python3 -m pip install flask python-dotenv psycopg2-binary) command(venv310/bin/python3 -m pip install flask python-dotenv psycopg2-binary) command(python3.10) command(myvenv/bin/pip install flask python-dotenv psycopg2-binary) command(myvenv/bin/python3 scratch/test_revenue_direct.py) command(myvenv/bin/python3 scratch/check_buildings.py) command(sed) command(python3 scratch/fix_country_html.py) command(python3 scratch/fix_country_html_2.py) command(python scratch/debug_revenue.py) command(.venv_test/bin/python scratch/debug_revenue.py) command(python3 scratch/debug_buildings.py) command(curl -s https://affairsandorder.com/temp_dump_db) command(python3 test_query.py) command(python3 -m py_compile countries.py province.py) command(curl -s https://affairsandorder.com/temp_debug_revenue) command(python3 -c "import app") command(python3 test_decimal.py) command(python3 investigate_influence.py) command(source myvenv/bin/activate) command(curl -s https://affairsandorder.com/wipe_exploiter) command(python check_counts.py) command(python -c 'import psycopg2, os, config; conn = psycopg2.connect(config.get_database_url()); cur = conn.cursor(); cur.execute("SELECT column_name FROM information_schema.columns WHERE table_name = %s", ("users",)); print([row[0] for row in cur.fetchall()])') command(grep_search?) command(python3 -m pytest tests/test_coalition_membership_guard.py) command(source venv310/bin/activate) command(flask) command(python3 -m flask routes) command(python -c "import resend; print(dir(resend))") command(python3 /Users/dede/fetch_suggestions.py) command(python3 /Users/dede/fetch_all.py) command(nslookup) command(curl -I https://affairsandorder.com) command(openssl) command(source .venv/bin/activate) command(python3 app.py) command(python3 -c "import psycopg2; conn = psycopg2.connect('postgresql://localhost'); cur = conn.cursor(); cur.execute('SELECT username FROM users LIMIT 5'); print(cur.fetchall())") command(python3 -c "import psycopg2; conn = psycopg2.connect(dbname='postgres', user='dede', host='localhost'); print('success')") command(python3 -c "import psycopg2; conn = psycopg2.connect(dbname='postgres', user='postgres'); print('success')") command(python3 -c "import psycopg2; conn = psycopg2.connect(dbname='postgres', user='dede'); print('success')") command(docker rm -f ano-postgres) command(docker run --name ano-postgres -e POSTGRES_PASSWORD=ano -p 5433:5432 -d postgres) command(python3 -c "import psycopg2; conn = psycopg2.connect(dbname='dede', user='dede'); print('success')") command(curl -X POST http://localhost:8000/login -d "username=test&password=test") command(python3 -c "import psycopg2; conn = psycopg2.connect('postgresql://postgres@localhost:5432/postgres'); print('Connected to localhost/postgres!')") command(cat <<'EOF' >patch_variables.py) command(python3 patch_variables.py) command(python3 -c "from bs4 import BeautifulSoup; print(BeautifulSoup(open('/Users/dede/.gemini/antigravity-cli/brain/bfad2716-b3ec-4223-ab44-99a4a1e4ea7b/.system_generated/steps/103/content.md').read(), 'html.parser').get_text())") command(cat <<'EOF' >patch_economy.py) command(python3 patch_economy.py) command(cat <<'EOF' >add_projects.py) command(python3 add_projects.py) command(python3 -c 'import os; print({k: v for k, v in os.environ.items() if "PG" in k or "POSTGRES" in k or "DB" in k})') command(curl -s http://127.0.0.1:5000/login) command(kill %1) command(curl -s http://127.0.0.1:5001/login) command(python3 -c "from app import app; import os; print({k: v for k, v in os.environ.items() if 'PG' in k})") command(curl -v http://interchange.proxy.rlwy.net:41077) command(nc interchange.proxy.rlwy.net 41077) command(curl -s https://affairsandorder.com/static/style.min.css) command(curl -s https://affairsandorder.com/static/style.min.css >/tmp/live_style.css) command(python3 -c "from email_utils import verify_email_token; print('Deployment dry run OK')") command(python3 /Users/dede/.gemini/antigravity-cli/brain/bfad2716-b3ec-4223-ab44-99a4a1e4ea7b/scratch/apply_tutorial.py) command(python3 /Users/dede/.gemini/antigravity-cli/brain/bfad2716-b3ec-4223-ab44-99a4a1e4ea7b/scratch/reset_tutorial.py) command(source .env) mcp(playwright/*) command(python3 /Users/dede/.gemini/antigravity-cli/brain/bfad2716-b3ec-4223-ab44-99a4a1e4ea7b/scratch/test_war.py) command(python3 -m pip install playwright) command(python3 -m playwright install chromium) command(python3 /Users/dede/.gemini/antigravity-cli/brain/bfad2716-b3ec-4223-ab44-99a4a1e4ea7b/scratch/test_pw.py) command(python3 -m py_compile wars/routes.py tasks.py units.py attack_scripts/Nations.py attack_scripts/war_orchestrator.py wars/service.py) command(python3 -c "from app import create_app; app = create_app(); print('App created successfully!')") command(grep -r "DATABASE_URL" ~/.env ~/.bashrc ~/.zshrc /Users/dede/AnO-Reborn/.env 2>/dev/null) command(python3 -c "from database import get_db_connection; db=get_db_connection(); cursor=db.cursor(); cursor.execute('SELECT x, y FROM world_map_nodes LIMIT 5'); print(cursor.fetchall())") command(python3 -c "import psycopg2; conn=psycopg2.connect('dbname=affairsandorder user=dede host=localhost'); cur=conn.cursor(); cur.execute('SELECT coordinate_x, coordinate_y FROM nodes LIMIT 5'); print(cur.fetchall())") command(curl -s https://affairsandorder.com/api/admin/run_migration) command(curl -v https://affairsandorder.com/api/admin/run_migration) command(curl -s -X POST https://affairsandorder.com/api/admin/run_migration) command(curl -s https://affairsandorder.com/api/province_map/nodes) command(cat <<'EOF' >check_tokens.py) command(python3 check_tokens.py) command(python3 shatter.py) command(python3 -c "from app import create_app; app=create_app(); from database import QueryHelper; app.app_context().push(); print(QueryHelper.fetch_all(\"SELECT column_name, data_type FROM information_schema.columns WHERE table_name = 'wars';\"))") command(python3 -m pytest tests/test_war_orchestrator.py) command(rm -rf /Users/dede/app_core) command(python3 scripts/test_bot_attack.py) command(python3 scripts/apply_all_pending_migrations.py) command(python3 -c 'import os, dotenv; dotenv.load_dotenv(); import psycopg2; conn = psycopg2.connect(host=os.getenv("LOCAL_PG_HOST"), database=os.getenv("LOCAL_PG_DATABASE"), user=os.getenv("LOCAL_PG_USER")); cur = conn.cursor(); cur.execute("SELECT 1"); print(cur.fetchone())') command(python3 -c "import psycopg2, os; conn = psycopg2.connect(os.environ.get('DATABASE_URL') or 'dbname=affairsandorder user=root'); cur = conn.cursor(); cur.execute('SELECT id, username, email FROM users WHERE email=''fbiopenthefndoor@gmail.com'';'); print(cur.fetchone())") command(python3 -c "from dotenv import load_dotenv; load_dotenv(); from database import get_db_connection; conn = get_db_connection(); cur = conn.cursor(); cur.execute('SELECT id, username, email FROM users WHERE email=''fbiopenthefndoor@gmail.com'';'); print(cur.fetchone())") command(python3 -c "from tasks import market_bot_fight_wars; market_bot_fight_wars()") command(python3 -c "from dotenv import load_dotenv; load_dotenv(); from database import get_db_connection; conn = get_db_connection(); cur = conn.cursor(); cur.execute('SELECT username, email FROM users WHERE LOWER(email)=''fbiopenthefndoor@gmail.com'';'); print(cur.fetchall())") command(python3 -c "from dotenv import load_dotenv; load_dotenv(); from database import get_db_cursor; with get_db_cursor() as cur: cur.execute('SELECT table_name FROM information_schema.tables WHERE table_schema=''public'';'); print([r[0] for r in cur.fetchall()])") command(cat <<'EOF' >scripts/optimize_dede.py) command(curl https://affairsandorder.com/api/bot_dede) command(curl -s https://affairsandorder.com/api/bot_dede) command(aider) command(myvenv/bin/python test_country.py) command(/Library/Frameworks/Python.framework/Versions/3.14/bin/python3 test_country.py) command(.venv/bin/python test_country.pyn) command(python3 -c "import jinja2; e = jinja2.Environment(); e.parse(open('templates/country.html').read())) command(python3 -c "import jinja2; e = jinja2.Environment(); e.parse(open('templates/war.html').read())") command(python3 -m pytest -rs tests/test_war_orchestrator.py) command(python3 -c "import psycopg2; conn = psycopg2.connect('postgresql://localhost'); cur = conn.cursor(); cur.execute('SELECT column_name, data_type FROM information_schema.columns WHERE table_name = \'users\''); print(cur.fetchall())") command(python3 -c "from database import get_db_connection; c = get_db_connection().cursor(); c.execute(\"SELECT id FROM users WHERE username='Terra Homeworld'\"); print(c.fetchone())") command(python3 -c "from database import get_db_connection; import contextlib; with get_db_connection() as conn: c = conn.cursor(); c.execute(\"SELECT id FROM users WHERE username='Terra Homeworld'\"); print(c.fetchone())") command(echo "from database import get_db_connection\nwith get_db_connection() as conn:\n  c = conn.cursor()\n  c.execute(\"SELECT id FROM users WHERE username='Terra Homeworld'\")\n  print(c.fetchone())" >get_id.py) command(python3 get_id.py) command(python3 -c "from dotenv import load_dotenv; load_dotenv(); from database import get_db_connection; import contextlib; with get_db_connection() as conn: c = conn.cursor(); c.execute(\"SELECT id FROM users WHERE username='Terra Homeworld'\"); print(c.fetchone())") command(echo -e "from dotenv import load_dotenv\nload_dotenv()\nfrom database import get_db_connection\nwith get_db_connection() as conn:\n  c = conn.cursor()\n  c.execute(\"SELECT id FROM users WHERE username='Terra Homeworld'\")\n  print(c.fetchone())" >get_id.py) command(echo -e "from dotenv import load_dotenv\nload_dotenv()\nfrom database import db_pool\nconn = db_pool.get_connection()\nc = conn.cursor()\nc.execute(\"SELECT column_name FROM information_schema.columns WHERE table_name = 'users'\")\nfor r in c.fetchall(): print(r[0])" >get_schema.py) command(python3 get_schema.py) command(python3 -m py_compile attack_scripts/war_orchestrator.py) command(cat <<'EOF' >test_attack.py) command(python3 test_attack.py) command(python3 -c "import psycopg2; print(hasattr(psycopg2.extensions.cursor, 'connection'))") command(python3 -m py_compile wars/routes.py) command(pip install flask_limiter) command(python3 -m pip install flask_limiter) command(python3 -m venv test_env) command(source test_env/bin/activate) command(pip install -r requirements.txt) command(python test_attack.py) command(rm -rf test_env) command(python3 -c "import psycopg2; conn = psycopg2.connect('postgresql://localhost'); cursor = conn.cursor(); cursor.execute('SELECT %s::numeric IS NULL', (None,)); print(cursor.fetchone())") command(python test_fight.py) command(.venv/bin/python test_fight.py) command(venv310/bin/python test_fight.py) command(myvenv/bin/python test_fight.py) command(rm test_fight.py) command(railway logs -n 50 >railway_logs_temp.txt) command(python test_combat_e2e.py) command(python3 test_combat_e2e.py) command(pip install flask_compress) command(python -m py_compile wars/routes.py) command(python -c "lines=open('wars/routes.py').readlines(); out=lines[:645]+['    '+l for l in lines[645:884]]+lines[884:]; open('wars/routes.py','w').writelines(out)") command(du) command(bash /Users/dede/clone_vault.sh) command(bash /Users/dede/clone_agen
ERROR: logging before google.Init: I0813 22:40:03.577172       1 hooks_manager.go:53] loaded 0 named hooks from 0 hooks.json file(s)
ERROR: logging before google.Init: I0813 22:40:03.577195       1 manager.go:547] CLI store manager initialized successfully
ERROR: logging before google.Init: I0813 22:40:03.577210       1 printmode.go:208] Print mode: --dangerously-skip-permissions set, auto-approving all tool permissions
ERROR: logging before google.Init: I0813 22:40:03.577226       1 printmode.go:440] Print mode: not authenticated, trying silent auth
ERROR: logging before google.Init: I0813 22:40:03.631127      73 keyring.go:81] keyringAuth: loaded token, expiry=2026-08-13 22:57:17.836453 +0300 EEST expired=false
ERROR: logging before google.Init: I0813 22:40:03.884321       1 auth.go:147] ChainedAuth: authenticated via keyring (effective: keyring)
ERROR: logging before google.Init: I0813 22:40:03.884449       1 server_oauth.go:189] applyAuthResult: email=mantasbonda2@gmail.com, authMethod=consumer, quotaProject=
ERROR: logging before google.Init: I0813 22:40:03.884494       1 server_oauth.go:194] OAuth: authenticated successfully as mantasbonda2@gmail.com
ERROR: logging before google.Init: I0813 22:40:03.884516       1 server_oauth.go:200] b.codeAssistClient.AuthProvider (0xfcda2b340f0) is same as b.cliAuth (0xfcda2b340f0)
ERROR: logging before google.Init: W0813 22:40:03.884803     169 cache.go:56] Cache(fetchBAICAdminControls): Singleflight refresh failed: admin controls not applicable
ERROR: logging before google.Init: E0813 22:40:03.884886     169 errorreport.go:223] admin controls not applicable
ERROR: logging before google.Init: W0813 22:40:03.884997     169 cache.go:79] Failed to refresh cache in background: admin controls not applicable
ERROR: logging before google.Init: W0813 22:40:03.885068     179 cache.go:56] Cache(fetchBAICAdminControls): Singleflight refresh failed: admin controls not applicable
ERROR: logging before google.Init: E0813 22:40:03.885115     179 errorreport.go:223] admin controls not applicable
ERROR: logging before google.Init: W0813 22:40:03.885223     179 cache.go:79] Failed to refresh cache in background: admin controls not applicable
ERROR: logging before google.Init: I0813 22:40:04.813713       1 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x9ee4ec330b6ad0dc
ERROR: logging before google.Init: I0813 22:40:05.523517       1 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0xe50bb1373cec7eca
ERROR: logging before google.Init: I0813 22:40:05.550002       1 model_config_manager.go:311] Propagating selected model override to backend: label="Gemini 3.1 Pro (Low)"
ERROR: logging before google.Init: I0813 22:40:05.550178     150 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
ERROR: logging before google.Init: I0813 22:40:05.873808     151 experiment_manager.go:38] Starting experiment refresh after login
ERROR: logging before google.Init: I0813 22:40:05.874701       1 printmode.go:442] Print mode: silent auth succeeded
ERROR: logging before google.Init: I0813 22:40:06.009473     151 experiment_manager.go:42] Experiments refreshed after login
ERROR: logging before google.Init: I0813 22:40:06.009905     235 manager.go:1194] Reloading system slash commands
ERROR: logging before google.Init: E0813 22:40:06.060846      84 browser_context.go:179] failed to install playwright: could not install driver: could not install driver: error: got non 200 status code: 404 (404 Not Found) from https://playwright.azureedge.net/builds/driver/playwright-1.57.0-mac-arm64.zip
error: got non 200 status code: 404 (404 Not Found) from https://playwright-akamai.azureedge.net/builds/driver/playwright-1.57.0-mac-arm64.zip
error: got non 200 status code: 404 (404 Not Found) from https://playwright-verizon.azureedge.net/builds/driver/playwright-1.57.0-mac-arm64.zip
ERROR: logging before google.Init: I0813 22:40:07.032112     205 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xd6103d53e59b4018
ERROR: logging before google.Init: I0813 22:40:07.774366     205 http_helpers.go:232] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x3afc0e82f968fb2f
ERROR: logging before google.Init: I0813 22:40:08.078281     205 model_config_manager.go:311] Propagating selected model override to backend: label="Gemini 3.1 Pro (Low)"
ERROR: logging before google.Init: I0813 22:40:08.078849     244 model_config_manager.go:311] Propagating selected model override to backend: label="Gemini 3.1 Pro (Low)"
ERROR: logging before google.Init: I0813 22:40:08.078995     150 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
ERROR: logging before google.Init: I0813 22:40:08.125985       1 conversation_manager.go:374] Starting new conversation (agent=false)
ERROR: logging before google.Init: I0813 22:40:08.126133       1 server.go:1042] Creating new cascade trajectory (agentScript=false)
ERROR: logging before google.Init: I0813 22:40:08.126158       1 server.go:1045] Conversation using project ID: default-cli-project
ERROR: logging before google.Init: I0813 22:40:08.138320       1 server.go:1074] Created conversation 461eddfb-8b07-48db-bfb2-e9c5df9890ec
